Neighborhood;Borough;PopDisability;Hearing;Vision;Cognitive;Ambulatory;SelfCare;IndLiving;Under18Disability
Inwood Hill Park;Manhattan;0;0;0;0;0;0;0;0
Central Park;Manhattan;0;0;0;0;0;0;0;0
Astoria Park;Queens;0;0;0;0;0;0;0;0
Kissena Park;Queens;0;0;0;0;0;0;0;0
Cunningham Park;Queens;0;0;0;0;0;0;0;0
Spring Creek Park;Queens;0;0;0;0;0;0;0;0
Alley Pond Park;Queens;35;9;4;16;35;26;32;0
Rockaway Community Park;Queens;0;0;0;0;0;0;0;0
Flushing Meadows-Corona Park;Queens;0;0;0;0;0;0;0;0
Forest Park;Queens;0;0;0;0;0;0;0;0
Jamaica Bay (East);Queens;0;0;0;0;0;0;0;0
Jacob Riis Park-Fort Tilden-Breezy Point Tip;Queens;9;0;0;5;4;0;5;0
Snug Harbor;Staten Island;0;0;0;0;0;0;0;0
Freshkills Park (North);Staten Island;0;0;0;0;0;0;0;0
Freshkills Park (South);Staten Island;0;0;0;0;0;0;0;0
Hoffman & Swinburne Islands;Staten Island;0;0;0;0;0;0;0;0
Miller Field;Staten Island;0;0;0;0;0;0;0;0
Great Kills Park;Staten Island;0;0;0;0;0;0;0;0
